player_id, season, club_id , league                 , position, appearances, minutes, goals, xg                   , np_goals, np_xg                , assists, xa                    , shots, key_passes, xg_chain             , xg_buildup
     6552,   2324,      244, ENG-Premier League     , F S     ,          25,    1954,     9,  9.158370908349752   ,        6,  6.874864336103201   ,       6,  5.14017678797245     ,    53,         32, 15.155989956110716   ,  6.123919734731317
     7083,   2324,      244, ENG-Premier League     , M S     ,          31,    2556,     2,  3.1722932122647762  ,        2,  3.1722932122647762  ,       1,  2.970704079605639    ,    36,         24,  9.006961837410927   ,  6.332392172887921
     9678,   2324,      244, ENG-Premier League     , D S     ,          29,    2521,     2,  3.382065122947097   ,        2,  3.382065122947097   ,       0,  0.5834191367030144   ,    19,          4,  5.525476990267634   ,  4.4719733241945505
     9681,   2324,      244, ENG-Premier League     , M S     ,          26,    1124,     1,  2.0069142188876867  ,        1,  2.0069142188876867  ,       2,  1.8476180955767632   ,    22,         12,  6.113463159650564   ,  2.3846182618290186
      998,   2324,      244, ENG-Premier League     , F S     ,          17,    1447,     4,  7.132677088491619   ,        4,  7.132677088491619   ,       2,  2.186188329011202    ,    51,         13,  7.6502086371183395  ,  1.1057295147329569
    10405,   2324,      244, ENG-Premier League     , S       ,           3,      16,     0,  0.0                 ,        0,  0.0                 ,       0,  0.12691843509674072  ,     0,          2,  0.10939022153615952 ,  0.0
    10809,   2324,      244, ENG-Premier League     , D F S   ,          30,    1432,     3,  8.581757307052612   ,        3,  8.581757307052612   ,       1,  1.6146608591079712   ,    43,         13,  9.344955435022712   ,  1.25881989300251
     9156,   2324,      244, ENG-Premier League     , F S     ,          11,     299,     2,  1.4017144106328487  ,        2,  1.4017144106328487  ,       1,  0.9465273916721344   ,     8,          4,  2.1139008942991495  ,  0.1965943891555071
     9677,   2324,      244, ENG-Premier League     , D S     ,          28,    1845,     2,  1.4675675723701715  ,        2,  1.4675675723701715  ,       1,  2.600812576711178    ,    12,         12,  5.710211778059602   ,  3.668103391304612
     9685,   2324,      244, ENG-Premier League     , D S     ,          34,    2009,     1,  1.1281067915260792  ,        1,  1.1281067915260792  ,       2,  2.064798539504409    ,     7,         15,  6.286723421886563   ,  4.37823604606092
     7047,   2324,      244, ENG-Premier League     , GK      ,          37,    3293,     0,  0.0                 ,        0,  0.0                 ,       1,  0.29118523746728897  ,     0,          3,  4.7133525144308805  ,  4.524704350158572
     7166,   2324,      244, ENG-Premier League     , M S     ,          32,    2294,     3,  0.689183003269136   ,        3,  0.689183003269136   ,       3,  4.908007476478815    ,    14,         41, 11.096407827921212   ,  9.512499671429396
    11487,   2324,      244, ENG-Premier League     , S       ,           8,      35,     0,  0.08374244254082441 ,        0,  0.08374244254082441 ,       0,  0.0                  ,     3,          0,  0.20455775130540133 ,  0.12081530690193176
     8859,   2324,      244, ENG-Premier League     , M S     ,          23,     797,     0,  0.8753717057406902  ,        0,  0.8753717057406902  ,       2,  2.291341120377183    ,     9,         10,  4.728561159223318   ,  2.396734122186899
    10205,   2324,      244, ENG-Premier League     , S       ,           3,       3,     0,  0.0                 ,        0,  0.0                 ,       0,  0.011411809362471104 ,     0,          1,  0.16001979354768991 ,  0.1486079841852188
     9733,   2324,      244, ENG-Premier League     , D S     ,          32,    2647,     1,  1.9630648605525494  ,        1,  1.9630648605525494  ,       1,  2.0567236468195915   ,    10,         11,  7.091836112551391   ,  4.629758290015161
     3621,   2324,      244, ENG-Premier League     , F S     ,          31,    1381,     6,  7.23018298856914    ,        6,  7.23018298856914    ,       3,  2.382636667229235    ,    42,         16, 11.593444548547268   ,  3.028178656473756
     9679,   2324,      244, ENG-Premier League     , D       ,           5,     401,     0,  0.045370095409452915,        0,  0.045370095409452915,       1,  0.7904934585094452   ,     2,          4,  2.13233545422554    ,  1.4655016660690308
     7069,   2324,      244, ENG-Premier League     , D S     ,          19,     701,     1,  0.302081985399127   ,        1,  0.302081985399127   ,       0,  1.0297286342829466   ,     9,         10,  2.3261738447472453  ,  2.0678049931302667
     7187,   2324,      244, ENG-Premier League     , D S     ,          25,    1539,     0,  1.177430784329772   ,        0,  1.177430784329772   ,       4,  3.6384903844445944   ,    17,         28,  6.459852248430252   ,  3.6084673702716827
     9914,   2324,      244, ENG-Premier League     , M S     ,          10,     203,     1,  0.8607992753386497  ,        1,  0.8607992753386497  ,       1,  0.4303002767264843   ,     2,          4,  1.3308127243071795  ,  0.26521478593349457
     1214,   2324,      244, ENG-Premier League     , GK S    ,           2,     127,     0,  0.0                 ,        0,  0.0                 ,       0,  0.0                  ,     0,          0,  0.0                 ,  0.0
     9680,   2324,      244, ENG-Premier League     , D M S   ,          38,    3137,     1,  2.0162796927616     ,        1,  2.0162796927616     ,       3,  4.314206030219793    ,    21,         37, 12.40513951331377    ,  9.032909959554672
    11772,   2324,      244, ENG-Premier League     , M S     ,          27,     619,     0,  1.0328057277947664  ,        0,  1.0328057277947664  ,       0,  0.08315489068627357  ,    11,          3,  3.1682952363044024  ,  2.1086901389062405
     5786,   2324,      244, ENG-Premier League     , F S     ,          34,    2556,    12, 11.16999962553382    ,       12, 11.16999962553382    ,       3,  3.828521143645048    ,    67,         29, 16.368419870734215   ,  4.587590790353715
