player_id,name,pos,mins,min_per_app,shots,shot_rate_raw,shot_rate,on_target_rate,sot_per90,p_1plus_sot,p_2plus_sot
6441,Ferrán Torres,FW,4286.0,48.2,155.0,3.255,3.181,0.339,1.077,0.659,0.293
14445,Paul Mendy,FW,326.0,36.2,15.0,4.141,3.174,0.339,1.075,0.659,0.292
10172,Jonathan Rowe,FW,2426.0,42.6,89.0,3.302,3.172,0.339,1.075,0.659,0.292
11319,Justin Diehl,MF,226.0,17.4,14.0,5.575,3.172,0.339,1.075,0.659,0.292
12418,Rodrigo Ribeiro,FW,640.0,35.6,26.0,3.656,3.167,0.339,1.073,0.658,0.291
11822,Fermín López,FW,4451.0,50.0,160.0,3.235,3.165,0.339,1.073,0.658,0.291
11633,Marc Guiu,FW,385.0,24.1,17.0,3.974,3.164,0.339,1.072,0.658,0.291
10730,Muhammed Damar,FW,243.0,16.2,12.0,4.444,3.163,0.339,1.072,0.658,0.291
171,Michael Gregoritsch,FW,3209.0,46.5,117.0,3.281,3.182,0.337,1.071,0.657,0.29
11898,Mateo Retegui,FW,4670.0,71.8,167.0,3.218,3.153,0.339,1.068,0.656,0.289
14003,Francesco Pio Esposito,FW,1535.0,43.9,57.0,3.342,3.144,0.339,1.065,0.655,0.288
10743,Kieffer Moore,FW,76.0,9.5,6.0,7.105,3.137,0.339,1.063,0.655,0.287
10552,Alejandro Garnacho,MF,6062.0,63.1,217.0,3.222,3.134,0.339,1.062,0.654,0.287
7900,Sargis Adamyan,FW,795.0,39.8,31.0,3.509,3.132,0.339,1.061,0.654,0.287
7322,Bukayo Saka,FW,6992.0,76.8,245.0,3.154,3.112,0.341,1.061,0.654,0.287
337,Leroy Sané,MF,3777.0,66.3,140.0,3.336,3.191,0.332,1.06,0.654,0.286
6026,Richarlison,FW,3908.0,52.1,139.0,3.201,3.125,0.339,1.059,0.653,0.286
13856,Christian Kofane,FW,1231.0,42.4,46.0,3.363,3.122,0.339,1.058,0.653,0.286
11314,Keke Maximilian Topp,FW,828.0,21.2,32.0,3.478,3.121,0.339,1.058,0.653,0.285
8418,Jamal Musiala,MF,4283.0,66.9,156.0,3.278,3.153,0.334,1.054,0.652,0.284
5730,Famara Diedhiou,FW,51.0,6.4,5.0,8.824,3.109,0.339,1.054,0.651,0.284
13802,Nouha Dicko,FW,51.0,6.4,5.0,8.824,3.109,0.339,1.054,0.651,0.284
7148,Wilson Isidor,FW,1142.0,35.7,43.0,3.389,3.128,0.337,1.053,0.651,0.284
734,Wahbi Khazri,FW,2235.0,40.6,80.0,3.221,3.094,0.339,1.048,0.649,0.282
11846,Tomás Cvancara,FW,1656.0,33.8,60.0,3.261,3.089,0.339,1.047,0.649,0.281
9922,Jon Karrikaburu,FW,112.0,12.4,7.0,5.625,3.089,0.339,1.047,0.649,0.281
12954,Can Uzun,MF,1815.0,44.3,68.0,3.372,3.086,0.339,1.045,0.648,0.281
9825,Nicolás Serrano,MF,445.0,22.2,21.0,4.247,3.083,0.339,1.045,0.648,0.281
5556,Ademola Lookman,FW,5666.0,65.9,197.0,3.129,3.08,0.339,1.044,0.648,0.28
4105,Raúl Jiménez,FW,6169.0,62.9,210.0,3.064,3.022,0.345,1.043,0.647,0.28
11296,Cody Gakpo,FW,6368.0,60.1,210.0,2.968,2.932,0.355,1.042,0.647,0.28
12152,Matheus França,MF,242.0,17.3,14.0,5.207,3.075,0.339,1.042,0.647,0.28
11227,Dzenan Pejcinovic,FW,1461.0,43.0,53.0,3.265,3.074,0.339,1.042,0.647,0.28
12107,Nacho Ferri,FW,56.0,7.0,5.0,8.036,3.073,0.339,1.041,0.647,0.279
9448,Dion Moise Sahi,FW,613.0,34.1,24.0,3.524,3.071,0.339,1.041,0.647,0.279
8648,Fraser Hornby,FW,203.0,29.0,10.0,4.433,3.07,0.339,1.04,0.647,0.279
6954,Juan Camilo Hernández,FW,3795.0,80.7,132.0,3.13,3.059,0.339,1.036,0.645,0.278
14459,Yassir Zabiri,FW,29.0,4.8,4.0,12.414,3.055,0.339,1.035,0.645,0.277
14267,Felipe Chávez,FW,88.0,9.8,6.0,6.136,3.055,0.339,1.035,0.645,0.277
5110,Mariano,FW,501.0,26.4,20.0,3.593,3.053,0.339,1.035,0.645,0.277
