match_id,date,home_team,away_team,result,p_home,p_draw,p_away,vig
49620,2023-12-06,Crystal Palace,Bournemouth,A,0.42217898832684825,0.2714007782101167,0.306420233463035,0.05273937532002049
49621,2023-12-06,Fulham,Nott'm Forest,H,0.47134935304990755,0.27726432532347506,0.2513863216266174,0.0607843137254902
49623,2023-12-06,Aston Villa,Man City,H,0.20304279823688326,0.22963173610123702,0.5673254656618798,0.03685684800235878
49625,2023-12-07,Everton,Newcastle,H,0.2903225806451613,0.2903225806451613,0.4193548387096774,0.05982905982905984
49626,2023-12-07,Tottenham,West Ham,A,0.5454545454545454,0.22727272727272724,0.22727272727272724,0.04761904761904767
49629,2023-12-09,Man United,Bournemouth,A,0.6144269091716742,0.21994496748639608,0.16562812334192958,0.050021216017931636
49631,2023-12-09,Wolves,Nott'm Forest,D,0.5151610291323099,0.2647355288596593,0.22010344200803078,0.04926520053540839
49627,2023-12-09,Crystal Palace,Liverpool,A,0.15789473684210528,0.2105263157894737,0.6315789473684211,0.05555555555555536
49632,2023-12-09,Aston Villa,Arsenal,H,0.28668941979522183,0.26279863481228666,0.4505119453924914,0.05699855699855716
49628,2023-12-09,Brighton,Burnley,D,0.638655462184874,0.20168067226890757,0.1596638655462185,0.04385964912280693
49630,2023-12-09,Sheffield United,Brentford,H,0.2219626168224299,0.24532710280373832,0.5327102803738317,0.07268170426065157
49633,2023-12-10,Everton,Chelsea,H,0.306420233463035,0.2714007782101167,0.42217898832684825,0.05273937532002049
49635,2023-12-10,Luton,Man City,A,0.05544072948328267,0.11781155015197567,0.8267477203647416,0.06101651186790513
49634,2023-12-10,Fulham,West Ham,H,0.39988968560397137,0.2719249862107005,0.3281853281853282,0.05070993914807298
49636,2023-12-10,Tottenham,Newcastle,H,0.4426075521322562,0.250422693969566,0.3069697538981777,0.050854818967899895
49637,2023-12-15,Nott'm Forest,Tottenham,A,0.2258485639686684,0.2258485639686684,0.5483028720626633,0.054225158271401064
49638,2023-12-16,Chelsea,Sheffield United,H,0.78031212484994,0.14645858343337334,0.07322929171668667,0.05044136191677184
49640,2023-12-16,Newcastle,Fulham,H,0.5198358413132695,0.24623803009575923,0.23392612859097128,0.06871345029239762
49639,2023-12-16,Man City,Crystal Palace,D,0.8075788165864264,0.11911787544649789,0.07330330796707563,0.049380704041721124
49641,2023-12-16,Burnley,Everton,A,0.26503340757238314,0.28062360801781744,0.4543429844097996,0.04808590102707733
49645,2023-12-17,Liverpool,Man United,D,0.7250755287009064,0.1570996978851964,0.1178247734138973,0.06089743589743568
49643,2023-12-17,Brentford,Aston Villa,A,0.2961082910321489,0.25267907501410036,0.45121263395375066,0.05535714285714288
49644,2023-12-17,West Ham,Wolves,H,0.44134505158578524,0.2711119602598395,0.28754298815437523,0.05386086781435617
49642,2023-12-17,Arsenal,Brighton,H,0.6544502617801047,0.18848167539267016,0.15706806282722513,0.061111111111111116
49646,2023-12-21,Crystal Palace,Brighton,D,0.28289473684210525,0.28289473684210525,0.43421052631578944,0.07117688513037357
49647,2023-12-22,Aston Villa,Sheffield United,D,0.7755791985681615,0.14557024957740877,0.07885055185442974,0.05685161832702823
49653,2023-12-23,Liverpool,Arsenal,D,0.39823008849557523,0.26327433628318586,0.33849557522123896,0.0550887021475257
49649,2023-12-23,Fulham,Burnley,A,0.5670771224886585,0.2525383452149492,0.1803845322963923,0.05594525235243797
49650,2023-12-23,Luton,Newcastle,H,0.19961114711600778,0.22575070209548498,0.5746381507885073,0.054682159945317776
49651,2023-12-23,Nott'm Forest,Bournemouth,A,0.34634974533106966,0.28013582342954163,0.3735144312393889,0.04991087344028511
49652,2023-12-23,Tottenham,Everton,H,0.5393258426966292,0.2247191011235955,0.23595505617977527,0.059523809523809534
49648,2023-12-23,West Ham,Man United,H,0.3673469387755102,0.26530612244897966,0.3673469387755102,0.04700854700854684
49654,2023-12-24,Wolves,Chelsea,H,0.2523117569352708,0.2523117569352708,0.4953764861294584,0.05689354275741709
49658,2023-12-26,Burnley,Liverpool,A,0.1453287197231834,0.17993079584775085,0.6747404844290658,0.05860805860805862
49655,2023-12-26,Newcastle,Nott'm Forest,A,0.6221653026800774,0.21553070531642404,0.16230399200349846,0.07152659236201764
49659,2023-12-26,Man United,Aston Villa,H,0.36458333333333337,0.27083333333333337,0.36458333333333337,0.05494505494505475
49657,2023-12-26,Sheffield United,Luton,A,0.41002004008016035,0.28577154308617236,0.30420841683366734,0.06039355688724557
49656,2023-12-26,Bournemouth,Fulham,H,0.4407039020657995,0.2631981637337414,0.29609793420045905,0.05539405684754528
49660,2023-12-27,Brentford,Wolves,A,0.49469964664310956,0.27561837455830385,0.22968197879858654,0.03663003663003672
49661,2023-12-27,Chelsea,Crystal Palace,H,0.5709391949757351,0.2383671139023694,0.19069369112189552,0.04880239520958085
49662,2023-12-27,Everton,Man City,A,0.1639365659466162,0.2356588135482608,0.600404620505123,0.0608557186374965
49664,2023-12-28,Arsenal,West Ham,A,0.7046463956269218,0.17039631021523746,0.12495729415784079,0.06703121439963544
49663,2023-12-28,Brighton,Tottenham,H,0.3765084473049075,0.2614641995172969,0.3620273531777956,0.062393162393162394
49669,2023-12-30,Wolves,Everton,H,0.3608748481166464,0.28760631834750905,0.3515188335358444,0.05362881028280286
49665,2023-12-30,Luton,Chelsea,A,0.1453287197231834,0.22491349480968856,0.629757785467128,0.05860805860805862
49667,2023-12-30,Crystal Palace,Brentford,H,0.43220338983050843,0.288135593220339,0.2796610169491525,0.051693404634581164
49666,2023-12-30,Aston Villa,Burnley,H,0.6942607775720708,0.1798466014281936,0.12589262099973553,0.059103641456582645
49668,2023-12-30,Man City,Sheffield United,H,0.8807288790723358,0.08647156267255661,0.03279955825510768,0.05131777545570637
49670,2023-12-30,Nott'm Forest,Man United,H,0.29609793420045905,0.2631981637337414,0.4407039020657995,0.05539405684754528
49671,2023-12-31,Fulham,Arsenal,H,0.18005808325266215,0.21006776379477252,0.6098741529525653,0.0578597030209933
49672,2023-12-31,Tottenham,Bournemouth,H,0.5393258426966292,0.2247191011235955,0.23595505617977527,0.059523809523809534
49673,2024-01-01,Liverpool,Newcastle,H,0.6538661131292164,0.21069019200830302,0.13544369486248053,0.054734537493158264
49674,2024-01-02,West Ham,Brighton,D,0.3930443068127679,0.2567889471176751,0.35016674606955694,0.03846629560915282
49675,2024-01-12,Burnley,Luton,D,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.05555555555555558
49677,2024-01-13,Newcastle,Man City,A,0.17186279656351228,0.2183014736949925,0.6098357297414951,0.05792635435785254
49676,2024-01-13,Chelsea,Fulham,H,0.5932203389830508,0.22598870056497172,0.18079096045197737,0.0535714285714286
49679,2024-01-14,Man United,Tottenham,D,0.4310344827586207,0.25287356321839083,0.3160919540229885,0.05454545454545445
49678,2024-01-14,Everton,Aston Villa,D,0.33980582524271846,0.27184466019417475,0.3883495145631068,0.05102040816326525
49681,2024-01-20,Brentford,Nott'm Forest,H,0.49799419006778256,0.2642135841748513,0.23779222575736617,0.05133798720186156
49680,2024-01-20,Arsenal,Crystal Palace,H,0.7296439901304195,0.16496298907296442,0.10539302079661615,0.05425492382014108
49682,2024-01-21,Sheffield United,West Ham,D,0.2796610169491525,0.288135593220339,0.43220338983050843,0.051693404634581164
49683,2024-01-21,Bournemouth,Liverpool,A,0.22707034728406053,0.21193232413178983,0.5609973285841496,0.048552754435107426
49684,2024-01-22,Brighton,Wolves,D,0.5844322369042638,0.22270512491732916,0.19286263817840707,0.037007488277696066
49689,2024-01-30,Aston Villa,Newcastle,A,0.5129935875801552,0.2372595342558218,0.24974687816402294,0.053698435277382606
49687,2024-01-30,Luton,Brighton,H,0.2272727272727273,0.2272727272727273,0.5454545454545455,0.04761904761904745
49688,2024-01-30,Crystal Palace,Sheffield United,H,0.5885015844273427,0.26482571299230423,0.14667270258035311,0.04890788224121545
49685,2024-01-30,Nott'm Forest,Arsenal,A,0.12727272727272726,0.19090909090909092,0.6818181818181818,0.04761904761904767
49686,2024-01-30,Fulham,Everton,D,0.3872529245663574,0.2964905203711174,0.3162565550625252,0.05399659863945572
49690,2024-01-31,Man City,Burnley,H,0.8760951188986232,0.0788485607008761,0.04505632040050063,0.05687830687830675
49692,2024-01-31,Liverpool,Chelsea,H,0.6018171661844011,0.2182108431661685,0.17997199064943042,0.05836574785251614
49691,2024-01-31,Tottenham,Brentford,H,0.5716905706876048,0.2273150602495952,0.20099436906279997,0.047423949094292706
49693,2024-02-01,West Ham,Bournemouth,D,0.39797395079594794,0.2547033285094067,0.3473227206946455,0.046969696969696884
49694,2024-02-01,Wolves,Man United,A,0.36206590546056916,0.26450925871147135,0.3734248358279596,0.05016277740500508
49699,2024-02-03,Sheffield United,Aston Villa,A,0.1821247892074199,0.22765598650927488,0.5902192242833053,0.04585537918871241
49695,2024-02-03,Everton,Tottenham,D,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.05555555555555558
49697,2024-02-03,Burnley,Fulham,D,0.3255813953488372,0.27770177838577287,0.39671682626538984,0.05911330049261099
49696,2024-02-03,Brighton,Crystal Palace,H,0.5608856088560886,0.23837638376383766,0.2007380073800738,0.04876160990712064
49698,2024-02-03,Newcastle,Luton,D,0.6558682952734998,0.19883165161975572,0.14530005310674457,0.058816914080071836
49700,2024-02-04,Bournemouth,Nott'm Forest,D,0.5609973285841497,0.2270703472840606,0.21193232413178986,0.048552754435107204
49702,2024-02-04,Man United,West Ham,H,0.5848930481283423,0.22560160427807488,0.18950534759358292,0.0553791887125219
49703,2024-02-04,Arsenal,Liverpool,H,0.4308880308880309,0.2633204633204634,0.3057915057915058,0.05490387748452252
49701,2024-02-04,Chelsea,Wolves,A,0.5883926183471516,0.23829901043059643,0.17330837122225196,0.049102132435465684
49704,2024-02-05,Brentford,Man City,A,0.13380281690140844,0.19718309859154928,0.6690140845070423,0.06766917293233088
49705,2024-02-10,Man City,Everton,H,0.8075788165864264,0.11911787544649789,0.07330330796707563,0.049380704041721124
49707,2024-02-10,Liverpool,Burnley,H,0.8229954614220878,0.12036308623298032,0.05664145234493192,0.03852438411261949
49710,2024-02-10,Wolves,Brentford,A,0.45434298440979953,0.2650334075723831,0.2806236080178174,0.04808590102707755
49711,2024-02-10,Nott'm Forest,Newcastle,A,0.28655297735532564,0.2521666200726866,0.4612804025719877,0.05750184774575029
