match_id,bookmaker,market,selection,line,price,captured_at
49523,bet365,1x2,away,,1.8,2026-06-14 23:29:39.511732
49523,market_avg,1x2,home,,4.34,2026-06-14 23:29:39.511732
49523,market_avg,1x2,draw,,3.96,2026-06-14 23:29:39.511732
49523,market_avg,1x2,away,,1.79,2026-06-14 23:29:39.511732
49524,bet365,1x2,home,,6.0,2026-06-14 23:29:39.511732
49524,bet365,1x2,draw,,4.5,2026-06-14 23:29:39.511732
49524,bet365,1x2,away,,1.5,2026-06-14 23:29:39.511732
49524,market_avg,1x2,home,,6.07,2026-06-14 23:29:39.511732
49524,market_avg,1x2,draw,,4.55,2026-06-14 23:29:39.511732
49524,market_avg,1x2,away,,1.52,2026-06-14 23:29:39.511732
49525,bet365,1x2,home,,2.2,2026-06-14 23:29:39.511732
49525,bet365,1x2,draw,,3.5,2026-06-14 23:29:39.511732
49525,bet365,1x2,away,,3.25,2026-06-14 23:29:39.511732
49525,market_avg,1x2,home,,2.24,2026-06-14 23:29:39.511732
49525,market_avg,1x2,draw,,3.51,2026-06-14 23:29:39.511732
49525,market_avg,1x2,away,,3.22,2026-06-14 23:29:39.511732
49526,bet365,1x2,home,,1.91,2026-06-14 23:29:39.511732
49526,bet365,1x2,draw,,3.4,2026-06-14 23:29:39.511732
49526,bet365,1x2,away,,4.2,2026-06-14 23:29:39.511732
49526,market_avg,1x2,home,,1.95,2026-06-14 23:29:39.511732
49526,market_avg,1x2,draw,,3.51,2026-06-14 23:29:39.511732
49526,market_avg,1x2,away,,4.09,2026-06-14 23:29:39.511732
49527,bet365,1x2,home,,3.25,2026-06-14 23:29:39.511732
49527,bet365,1x2,draw,,3.4,2026-06-14 23:29:39.511732
49527,bet365,1x2,away,,2.2,2026-06-14 23:29:39.511732
49527,market_avg,1x2,home,,3.3,2026-06-14 23:29:39.511732
49527,market_avg,1x2,draw,,3.43,2026-06-14 23:29:39.511732
49527,market_avg,1x2,away,,2.23,2026-06-14 23:29:39.511732
49528,bet365,1x2,home,,1.14,2026-06-14 23:29:39.511732
49528,bet365,1x2,draw,,8.5,2026-06-14 23:29:39.511732
49528,bet365,1x2,away,,15.0,2026-06-14 23:29:39.511732
49528,market_avg,1x2,home,,1.15,2026-06-14 23:29:39.511732
49528,market_avg,1x2,draw,,8.55,2026-06-14 23:29:39.511732
49528,market_avg,1x2,away,,18.11,2026-06-14 23:29:39.511732
49529,bet365,1x2,home,,1.8,2026-06-14 23:29:39.511732
49529,bet365,1x2,draw,,3.8,2026-06-14 23:29:39.511732
49529,bet365,1x2,away,,4.2,2026-06-14 23:29:39.511732
49529,market_avg,1x2,home,,1.8,2026-06-14 23:29:39.511732
49529,market_avg,1x2,draw,,3.78,2026-06-14 23:29:39.511732
49529,market_avg,1x2,away,,4.49,2026-06-14 23:29:39.511732
49530,bet365,1x2,home,,4.2,2026-06-14 23:29:39.511732
49530,bet365,1x2,draw,,4.2,2026-06-14 23:29:39.511732
49530,bet365,1x2,away,,1.73,2026-06-14 23:29:39.511732
49530,market_avg,1x2,home,,4.31,2026-06-14 23:29:39.511732
