player_id,name,position,current_club_id,nationality,born
6856,Rúben Vinagre,D S,94,,
12990,Saad El Haddad,S,265,MAR,2005
12356,Saba Goglichidze,D S,108,GEO,2004
9381,Saba Sazonov,S,113,GEO,2002
7511,Sacha Boey,D S,117,FRA,2000
9562,Sacha Delaye,S,166,,
11806,Sadibou Sané,D S,180,,
11157,Sael Kumbedi,D S,178,FRA,2005
3585,Said Benrahma,F M S,178,ALG,1995
8691,Saidou Sow,D S,168,GUI,2002
5294,Salih Özcan,M S,129,TUR,1998
11630,Salim El Jebari,S,143,,
9642,Salis Abdul Samed,M S,210,,
8735,Salvi Sánchez,S,145,ESP,1997
11961,Sam Beukema,D S,97,NED,1998
12465,Sam Curtis,S,238,,
978,Sam Johnstone,GK,229,ENG,1993
12748,Sam Morsy,M S,285,EGY,1991
7069,Saman Ghoddos,D S,244,,
12752,Sammie Szmodics,M S,285,IRL,1995
2303,Samu Castillejo,F M S,104,,
11831,Samu Omorodion,F S,158,,
11618,Samuel Amo-Ameyaw,D M S,225,ENG,2006
12266,Samuel Bamba,S,268,GER,2004
7208,Samuel Chukwueze,F M S,111,NGA,1999
12869,Samuel Dahl,S,95,SWE,2003
10072,Samuel Edozie,S,74,ENG,2003
12922,Samuel Essende,F S,121,COD,1998
6773,Samuel Gigot,D S,96,FRA,1993
3713,Samuel Grandsir,S,282,FRA,1996
10616,Samuel Iling-Junior,S,97,ENG,2003
10943,Samuel Lino,D F M S,143,BRA,1999
12904,Samuel Mbangula,M S,98,BEL,2004
6018,Samuel Moutoussamy,M S,168,,
3567,Samuel Umtiti,D S,160,,
10892,Samuele Birindelli,D M S,271,ITA,1999
12277,Samuele Di Benedetto,S,133,,
11927,Samuele Mulattieri,F S,104,,
1157,Samuele Perisan,GK,108,,
7530,Samuele Ricci,M,113,ITA,2001
10897,Samuele Vignato,M S,271,ITA,2004
10974,Samú Costa,M S,239,POR,2000
8285,Sander Berge,M S,228,NOR,1998
10878,Sandi Lovric,M S,99,SVN,1998
2537,Sandro Ramírez,F M S,144,ESP,1995
7958,Sandro Tonali,M S,86,ITA,2000
1932,Sanjin Prcic,M S,225,,
10945,Santiago Bueno,D S,229,URU,1998
12528,Santiago Castro,F S,97,ARG,2004
7070,Santiago Comesaña,M S,154,ESP,1996
11537,Santiago García,S,142,,
13453,Santiago Giménez,F S,111,MEX,2001
13003,Santiago Mouriño,D S,158,URU,2002
12362,Santiago Pierotti,F M S,243,ARG,2001
5113,Santos Borré,F S,123,,
2774,Sardar Azmoun,F M S,95,,
7900,Sargis Adamyan,F M S,134,,
8812,Sasa Kalajdzic,F S,229,,
1537,Sasa Lukic,M S,228,SRB,1996
13053,Saud Abdulhamid,D S,95,KSA,1999
12264,Saïmon Bouabré,M S,171,FRA,2006
11741,Saúl Coco,D,113,EQG,1999
2266,Saúl Ñíguez,M S,138,ESP,1994
9737,Scott Banks,S,288,SCO,2001
10757,Scott McKenna,D S,144,SCO,1996
5560,Scott McTominay,S,89,SCO,1996
342,Sead Kolasinac,D,107,BIH,1993
585,Seamus Coleman,D S,72,IRL,1988
7078,Sean Longstaff,M S,86,ENG,1997
7791,Sebastiaan Bornauw,D S,131,BEL,1999
12970,Sebastian Nanasi,F M S,225,SWE,2002
13478,Sebastian Otoa,D,101,DEN,2004
7881,Sebastian Polter,F S,127,,
228,Sebastian Rode,M S,132,,
8030,Sebastian Walukiewicz,D S,108,POL,2000
7969,Sebastiano Esposito,F M S,108,ITA,2002
1639,Sebastiano Luperto,D,116,ITA,1996
1144,Seko Fofana,M S,163,CIV,1995
11379,Selim Amallah,F M S,231,MAR,1996
6507,Semuel Pizzignacco,GK S,271,ITA,2001
11835,Senne Lynen,M,123,BEL,1999
12345,Senny Mayulu,D M S,161,FRA,2006
9182,Sepe Elye Wahi,F S,164,CIV,2003
10721,Sepp van den Berg,D S,244,NED,2001
3600,Serge Aurier,D S,249,,
993,Serge Gnabry,F M S,117,GER,1995
11953,Sergi Altimira,M S,153,ESP,2001
1078,Sergi Canos,M S,146,ESP,1997
11744,Sergi Cardona,D S,154,ESP,1999
2621,Sergi Darder,M S,239,ESP,1993
12823,Sergi Domínguez,D S,148,ESP,2005
5212,Sergi Guardiola,F S,145,ESP,1991
2282,Sergi Gómez,D S,141,ESP,1992
2104,Sergi Roberto,M S,286,ESP,1992
2594,Sergio Akieme,D S,177,ESP,1997
13375,Sergio Arribas,D,153,ESP,2003
8862,Sergio Arribas,F M S,208,ESP,2003
7528,Sergio Camello,F S,145,ESP,2001
8122,Sergio Carreira,D M S,152,ESP,2000
12791,Sergio González,D S,159,,
6656,Sergio Gómez,D F M S,140,ESP,2000
7859,Sergio Herrera,GK,157,ESP,1993
2246,Sergio Ramos,D,138,,
7187,Sergio Reguilón,D S,82,ESP,1996
12624,Sergio Rodelas,F M S,155,,
11830,Sergio Ruiz,M S,155,,
13366,Sergio Viera,M S,144,ESP,2005
13270,Sergiu Perciun,S,113,MDA,2006
3738,Serhou Guirassy,F S,129,GUI,1996
13024,Serigne Diop,S,241,SEN,2005
12011,Seydou Fini,S,101,,
12792,Seydouba Cissé,M S,159,GUI,2001
10455,Shamar Nicholson,F S,270,,
9914,Shandon Baptiste,M S,244,,
12389,Shavy Babicka,M S,174,GAB,2000
7882,Sheraldo Becker,F M S,140,SUR,1995
12373,Shio Fukuda,S,130,JPN,2004
8761,Shon Weissman,S,155,,
13476,Shumaira Mheuka,S,80,ENG,2007
12934,Shuto Machino,F M S,287,JPN,1999
12847,Sidiki Chérif,F S,167,FRA,2006
11749,Siebe Van der Heyden,D S,239,BEL,1998
8807,Silas Wamangituka,M S,133,,
10236,Silvan Hefti,D S,101,,
1139,Silvan Widmer,D S,125,SUI,1993
11737,Silvi Clua,M S,223,ESP,2005
9707,Silvère Ganvoula,F S,271,CGO,1996
11710,Simon Adingra,D M S,220,CIV,2002
13119,Simon Cara,S,166,FRA,2005
12446,Simon Ebonog,S,282,,
11805,Simon Elisor,F S,180,,
4699,Simon Kjaer,D S,111,,
9029,Simon Sohm,M S,230,SUI,2001
139,Simon Zoller,S,268,,
6988,Simone Aresti,S,116,,
8916,Simone Bastoni,D M S,108,,
10596,Simone Pafundi,S,99,ITA,2006
11022,Simone Perilli,GK,94,ITA,1995
1971,Simone Romagnoli,D S,112,,
1158,Simone Scuffet,GK,116,ITA,1996
1445,Simone Verdi,S,286,ITA,1992
1362,Simy,F S,264,,
8703,Sinaly Diomande,D S,275,CIV,2001
11090,Siriné Doucouré,F S,179,,
12988,Sirlord Conteh,F M S,280,GER,1996
12013,Skelly Alvero,M S,123,FRA,2002
6846,Sofiane Diop,F M S,170,MAR,2000
12375,Sofiane Sidi Ali,S,164,,
7927,Sofyan Amrabat,M,110,MAR,1996
371,Sokratis,D S,153,,
6049,Solly March,M S,220,ENG,1994
453,Son Heung-Min,F M S,82,KOR,1992
12843,Sorba Thomas,D F M S,168,WAL,1999
7406,Sory Kaba,F S,144,,
10854,Souleymane Isaak Touré,D S,99,FRA,2003
10467,Soumaila Coulibaly,D S,241,FRA,2003
10770,Soungoutou Magassa,M S,171,FRA,2003
10971,Srdjan Babic,D,208,,
12426,Stanis Idumbo Muzambo,M S,138,BEL,2005
6125,Stanislav Lobotka,M S,105,SVK,1994
12894,Stanko Juric,M S,231,CRO,1996
6436,Stanley N'Soki,D S,120,FRA,1999
10723,Stefan Bajcetic,D M S,144,ESP,2004
40,Stefan Bell,D S,125,GER,1991
12836,Stefan Dzodic,D S,166,SRB,2005
7831,Stefan Lainer,D S,130,AUT,1992
12310,Stefan Lekovic,D S,271,SRB,2004
12439,Stefan Mitrovic,M S,94,,
4242,Stefan Mitrovic,D S,142,,
8786,Stefan Ortega Moreno,GK S,88,GER,1992
5329,Stefan Posch,D S,107,AUT,1997
2263,Stefan Savic,D S,143,,
11861,Stefan Schimmer,S,280,GER,1994
1541,Stefan de Vrij,D S,106,NED,1992
1898,Stefano Sabelli,D S,101,ITA,1993
1465,Stefano Sensi,M S,271,ITA,1995
8101,Stefano Turati,GK,271,ITA,2001
9227,Steffen Tigges,F S,134,,
1252,Stephan El Shaarawy,D F M S,95,ITA,1992
7484,Stephy Mavididi,M S,75,ENG,1998
1670,Steve Mandanda,GK S,163,FRA,1985
3800,Steve Mounie,M S,121,BEN,1994
12335,Steve Ngoura,F S,282,FRA,2005
12133,Steven Baseya,S,225,,
11875,Steven Shpendi,F S,108,,
7054,Steven Skrzybski,F M S,287,GER,1992
10791,Stijn Spierings,M S,210,,
12717,Stoichkov,F M S,158,ESP,1993
2619,Stole Dimitrievski,GK,146,MKD,1993
8642,Strahinja Pavlovic,D S,111,SRB,2001
11465,Stredair Appuah,S,168,,
307,Suat Serdar,M S,94,GER,1997
10985,Sulemana,M S,107,GHA,2002
1129,Suso,F M S,138,ESP,1993
8635,Sven Botman,D S,86,NED,2000
7799,Sven Michel,F M S,121,,
231,Sven Ulreich,GK,117,GER,1988
12251,Sydie Peck,S,238,,
9862,Sydney van Hooijdonk,F S,97,,
7910,Szymon Zurkowski,S,108,POL,1997
11735,Sávio,F M S,88,BRA,2004
6144,Sébastien Haller,F S,159,CIV,1994
13137,Sékou Doucouré,S,168,FRA,2005
8970,Sékou Mara,F M S,225,FRA,2002
12423,Tadeo Allende,S,152,ARG,1999
7439,Tahith Chong,D F M S,256,,
7814,Taiwo Awoniyi,F S,249,NGA,1997
12322,Tajon Buchanan,M S,154,CAN,1999
8001,Takefusa Kubo,F M S,140,JPN,2001
7931,Takehiro Tomiyasu,S,83,JPN,1998
6087,Takuma Asano,F M S,239,JPN,1994
8239,Takumi Minamino,M S,171,JPN,1995
702,Tammy Abraham,F S,111,ENG,1997
13404,Tamás Nikitscher,D M S,231,HUN,1999
8813,Tanguy Coulibaly,F M S,166,FRA,2001
5962,Tanguy NDombele Alvaro,M S,170,FRA,1996
9885,Tanner Tessmann,M S,178,USA,2001
8226,Tariq Lamptey,D M S,220,GHA,2000
12030,Tasos Douvikas,F S,152,,
12234,Tawanda Chirewa,F S,229,,
8495,Taylor Harwood-Bellis,D S,74,ENG,2002
11754,Teddy Teuma,M S,177,MLT,1993
12073,Teden Mengi,D S,256,,
2519,Tejero,D F M S,141,ESP,1996
8997,Terem Igobor Moffi,S,170,NGA,1999
8895,Tete Morente,F M S,243,ESP,1996
9969,Teun Koopmeiners,F M S,98,NED,1998
12825,Theo Bair,F S,275,CAN,1999
9209,Theo Corbeanu,M S,155,,
2547,Theo Hernández,D S,111,FRA,1997
7540,Theo Sainte Luce,D M S,166,FRA,1998
13222,Thiago,F S,244,BRA,2001
229,Thiago Alcántara,S,87,,
13358,Thiago Almada,M S,178,ARG,2001
13285,Thiago Ojeda,S,154,ARG,2003
3288,Thiago Silva,D S,80,,
8647,Thibault De Smet,D S,177,BEL,1998
680,Thibaut Courtois,GK,150,BEL,1992
12916,Thierno Barry,F S,154,FRA,2002
8058,Thierry Correia,D S,146,POR,1999
10794,Thijs Dallinga,F S,97,NED,2000
2674,Thilo Kehrer,D,171,GER,1996
13269,Thomas Campaniello,S,108,ITA,2008
11232,Thomas Cannon,S,72,,
7765,Thomas Delaine,S,225,FRA,1992
12940,Thomas Dähne,GK,287,GER,1994
7151,Thomas Foket,D M S,177,,
3751,Thomas Henry,F S,94,,
11925,Thomas Isherwood,D S,127,,
11712,Thomas Kaminski,GK,256,,
12023,Thomas Keller,D M S,280,GER,1999
3425,Thomas Lemar,S,143,FRA,1995
5680,Thomas Meunier,D S,160,BEL,1991
224,Thomas Müller,F M S,117,GER,1989
2328,Thomas Partey,D M S,83,GHA,1993
1214,Thomas Strakosha,GK S,244,,
12040,Thomas Thiesson Kristensen,D S,99,DEN,2002
213,Thorgan Hazard,S,129,,
12834,Théo Chennahi,D S,166,FRA,2005
