club_id,name,league
90000117,Portsmouth,ENG-Championship
90000118,Preston North End,ENG-Championship
90000119,QPR,ENG-Championship
90000120,Sheffield United,ENG-Championship
90000121,Sheffield Weds,ENG-Championship
90000122,Southampton,ENG-Championship
90000123,Stoke City,ENG-Championship
90000124,Swansea City,ENG-Championship
90000125,Watford,ENG-Championship
90000126,West Brom,ENG-Championship
90000127,Wrexham,ENG-Championship
90000128,Alanyaspor,TUR-Super Lig
90000129,Antalyaspor,TUR-Super Lig
90000130,Başakşehir,TUR-Super Lig
90000131,Beşiktaş,TUR-Super Lig
90000132,Eyüpspor,TUR-Super Lig
90000133,Fatih Karagümrük,TUR-Super Lig
90000134,Fenerbahçe,TUR-Super Lig
90000135,Galatasaray,TUR-Super Lig
90000136,Gaziantep FK,TUR-Super Lig
90000137,Gençlerbirliği,TUR-Super Lig
90000138,Göztepe,TUR-Super Lig
90000139,Kasımpaşa,TUR-Super Lig
90000140,Kayserispor,TUR-Super Lig
90000141,Kocaelispor,TUR-Super Lig
90000142,Konyaspor,TUR-Super Lig
90000143,Rizespor,TUR-Super Lig
90000144,Samsunspor,TUR-Super Lig
90000145,Trabzonspor,TUR-Super Lig
90000146,Al Kholood Saudi Club,KSA-Pro League
90000147,Al Okhdood SC,KSA-Pro League
90000148,Al-Ahli,KSA-Pro League
90000149,Al-Ettifaq,KSA-Pro League
90000150,Al-Fateh,KSA-Pro League
90000151,Al-Fayha,KSA-Pro League
90000152,Al-Hazem,KSA-Pro League
90000153,Al-Hilal,KSA-Pro League
90000154,Al-Ittihad,KSA-Pro League
90000155,Al-Khaleej,KSA-Pro League
90000156,Al-Najma,KSA-Pro League
90000157,Al-Nassr,KSA-Pro League
90000158,Al-Qadsiah,KSA-Pro League
90000159,Al-Riyadh SC,KSA-Pro League
90000160,Al-Shabab,KSA-Pro League
90000161,Al-Taawoun,KSA-Pro League
90000162,Damac,KSA-Pro League
90000163,Neom,KSA-Pro League
