team_name,elo
Saarland,1446.757508816104
Mauritania,1445.1137502596023
Equatorial Guinea,1444.8574716071037
Gotland,1444.1460009256969
Papua New Guinea,1442.8823742424806
Lebanon,1442.2361360025416
Malawi,1438.1934316287675
Tajikistan,1437.5464775423231
Liberia,1437.5452076782901
Monaco,1436.60979834208
Western Isles,1433.8533158804303
Manchukuo,1430.3535518953388
Găgăuzia,1429.5582778766943
Vanuatu,1429.4428566997096
Niue,1425.8044270068083
Estonia,1425.0741066734356
Namibia,1423.810524038074
Palau,1420.751790590093
Gozo,1420.5868751126152
Lesotho,1418.8746525811482
Tanzania,1418.220432095096
Cuba,1418.0631160075804
Marshall Islands,1416.4550691965194
Armenia,1414.4702697337243
Saint Barthélemy,1411.9859551000422
Fiji,1408.7849650561332
Vatican City,1408.4649032352104
Ticino,1406.2878162768827
French Guiana,1400.100094374347
Orkney,1397.1092310651388
Western Sahara,1396.1881135440144
Western Australia,1395.4037698964732
Ethiopia,1392.6826550817411
Burundi,1387.7292500132653
Botswana,1387.5725593940235
Turkmenistan,1387.0427112027173
Two Sicilies,1385.826001390935
Raetia,1381.2717568950557
Azerbaijan,1380.7687314649816
Cyprus,1370.1539311740196
Central African Republic,1362.1990070977324
Guinea-Bissau,1361.4340778464425
Barawa,1359.8890666499433
Saint Vincent and the Grenadines,1359.4517108837724
Chagos Islands,1358.2541458848348
Puerto Rico,1357.9422674498471
Yemen DPR,1354.595871439777
Solomon Islands,1347.7098421662467
Vietnam Republic,1347.1840593293089
Malta,1346.1256813932303
Saint Helena,1344.3090362994285
Hitra,1343.2735683074266
Saare County,1340.8655768093317
Philippines,1340.0940785586793
Bermuda,1334.0640239176817
Congo,1329.8942965058259
Moldova,1328.7248337238411
Saint Martin,1328.455083314732
Sark,1327.770658319404
Latvia,1320.745228928243
Micronesia,1320.504108346295
Lithuania,1319.653147321196
Eswatini,1316.4957470509967
Ambazonia,1312.1338149434646
Hong Kong,1310.4717062359864
Yemen,1306.8423443182853
Sint Maarten,1305.2279149458673
Singapore,1293.9462448127429
Wallis Islands and Futuna,1291.5065154839237
Belize,1290.0008206625087
Grenada,1289.5956059717248
Saint Pierre and Miquelon,1287.1570768707234
South Sudan,1270.7676646607513
Tibet,1266.7615159631664
Saint Kitts and Nevis,1261.8388203163388
Chad,1246.610631655555
India,1237.3285730272667
Kiribati,1224.726400924944
Montserrat,1217.9280949576653
Samoa,1216.1121718936427
Falkland Islands,1214.3471020494512
Mauritius,1208.1913195218826
Tuvalu,1208.0561358758303
Saint Lucia,1203.8319419832656
Darfur,1201.9093271902627
Eritrea,1197.8537771694525
Aruba,1196.6853729760214
Frøya,1194.2328478224047
São Tomé and Príncipe,1181.4741515073247
Afghanistan,1171.9577333961681
Dominica,1152.8115686666486
Andorra,1138.6136278977635
Myanmar,1135.7371887996715
Bangladesh,1132.3584902344621
Cook Islands,1130.6961682209148
Gibraltar,1126.4409004459515
Pakistan,1121.6061838869375
Barbados,1114.8727495945
Nepal,1103.3419991165606
Bonaire,1101.100427713484
Antigua and Barbuda,1080.1211916761595
Cambodia,1077.2960000874543
Alderney,1076.0196915922086
Djibouti,1075.3056338694623
